population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,6,Incidence,522,Sudan,1,Male,27,Age-standardized,597,Benign prostatic hyperplasia,3,Rate,2021,247.9044784816,323.20129377992004,190.74399256175
1,All Population,6,Incidence,94,Switzerland,1,Male,27,Age-standardized,597,Benign prostatic hyperplasia,3,Rate,2021,503.45253882804,571.01610388369,443.58418571551
1,All Population,6,Incidence,95,United Kingdom,1,Male,27,Age-standardized,597,Benign prostatic hyperplasia,3,Rate,2021,273.54941202473003,328.73618573498,226.09201725557
1,All Population,6,Incidence,110,Dominica,1,Male,27,Age-standardized,597,Benign prostatic hyperplasia,3,Rate,2021,367.19748467063,474.57782644584,278.79722096083
1,All Population,6,Incidence,215,Sao Tome and Principe,1,Male,27,Age-standardized,597,Benign prostatic hyperplasia,3,Rate,2021,246.13531943802,320.59217884962,189.61475570542
1,All Population,6,Incidence,81,Germany,1,Male,27,Age-standardized,597,Benign prostatic hyperplasia,3,Rate,2021,200.87936376754,259.18026691277004,152.41407169437
1,All Population,6,Incidence,54,Slovakia,1,Male,27,Age-standardized,597,Benign prostatic hyperplasia,3,Rate,2021,412.61407717694,473.38594647947,355.26233083258
1,All Population,6,Incidence,41,Uzbekistan,1,Male,27,Age-standardized,597,Benign prostatic hyperplasia,3,Rate,2021,331.09966503001,419.7722983204901,256.33999975208
1,All Population,6,Incidence,28,Solomon Islands,1,Male,27,Age-standardized,597,Benign prostatic hyperplasia,3,Rate,2021,438.484977545,545.78414559278,337.41276867238
1,All Population,6,Incidence,161,Bangladesh,1,Male,27,Age-standardized,597,Benign prostatic hyperplasia,3,Rate,2021,325.30216252623,421.98911475173,249.12177156131
1,All Population,6,Incidence,217,Sierra Leone,1,Male,27,Age-standardized,597,Benign prostatic hyperplasia,3,Rate,2021,241.47554792285,315.8896591755,184.93958292145
1,All Population,6,Incidence,97,Argentina,1,Male,27,Age-standardized,597,Benign prostatic hyperplasia,3,Rate,2021,154.45440378528,202.06325423469,117.66448864116
1,All Population,6,Incidence,55,Slovenia,1,Male,27,Age-standardized,597,Benign prostatic hyperplasia,3,Rate,2021,296.55324102479,353.3358730723,247.93301471527
1,All Population,6,Incidence,68,Republic of Korea,1,Male,27,Age-standardized,597,Benign prostatic hyperplasia,3,Rate,2021,126.21203726374,170.10986622279,91.77436422214
1,All Population,6,Incidence,82,Greece,1,Male,27,Age-standardized,597,Benign prostatic hyperplasia,3,Rate,2021,209.3882890449,261.29872701716,166.8663460457
1,All Population,6,Incidence,14,Maldives,1,Male,27,Age-standardized,597,Benign prostatic hyperplasia,3,Rate,2021,466.50917951275,595.50386838309,364.7797231571501
1,All Population,6,Incidence,203,Cabo Verde,1,Male,27,Age-standardized,597,Benign prostatic hyperplasia,3,Rate,2021,247.90525598751,321.5682583912,190.63320493405
1,All Population,6,Incidence,189,United Republic of Tanzania,1,Male,27,Age-standardized,597,Benign prostatic hyperplasia,3,Rate,2021,261.78744010861004,341.81891691813,200.18051308719
1,All Population,6,Incidence,218,Togo,1,Male,27,Age-standardized,597,Benign prostatic hyperplasia,3,Rate,2021,242.37679878882,311.35901224035,186.10942368351
1,All Population,6,Incidence,83,Iceland,1,Male,27,Age-standardized,597,Benign prostatic hyperplasia,3,Rate,2021,189.9794381646,249.41004838471,144.12616909995
1,All Population,6,Incidence,202,Cameroon,1,Male,27,Age-standardized,597,Benign prostatic hyperplasia,3,Rate,2021,244.45955955677,319.78578434797,189.12018223464
1,All Population,6,Incidence,108,Belize,1,Male,27,Age-standardized,597,Benign prostatic hyperplasia,3,Rate,2021,354.91093869448,469.47657845476,271.2446914238
1,All Population,6,Incidence,175,Burundi,1,Male,27,Age-standardized,597,Benign prostatic hyperplasia,3,Rate,2021,262.23153155155,339.72632427937,202.39105743759
1,All Population,6,Incidence,190,Uganda,1,Male,27,Age-standardized,597,Benign prostatic hyperplasia,3,Rate,2021,263.52529369062,342.85471582532,200.8676984276
1,All Population,6,Incidence,69,Singapore,1,Male,27,Age-standardized,597,Benign prostatic hyperplasia,3,Rate,2021,126.95467765857,173.53043427181998,93.4400328073
1,All Population,6,Incidence,29,Tonga,1,Male,27,Age-standardized,597,Benign prostatic hyperplasia,3,Rate,2021,438.90177619509,555.4945349984899,339.02912206263
1,All Population,6,Incidence,216,Senegal,1,Male,27,Age-standardized,597,Benign prostatic hyperplasia,3,Rate,2021,247.87064539082,320.20787564261,190.38465748494
1,All Population,6,Incidence,84,Ireland,1,Male,27,Age-standardized,597,Benign prostatic hyperplasia,3,Rate,2021,195.38742310858,258.03770565367,144.99843043147
1,All Population,6,Incidence,162,Bhutan,1,Male,27,Age-standardized,597,Benign prostatic hyperplasia,3,Rate,2021,326.38767136673,429.49831785409,251.43295697983
1,All Population,6,Incidence,204,Chad,1,Male,27,Age-standardized,597,Benign prostatic hyperplasia,3,Rate,2021,244.25006675481,314.77206927112,188.34257556642
1,All Population,6,Incidence,111,Dominican Republic,1,Male,27,Age-standardized,597,Benign prostatic hyperplasia,3,Rate,2021,348.85311019811,457.53245858823,268.91012564254004
1,All Population,6,Incidence,191,Zambia,1,Male,27,Age-standardized,597,Benign prostatic hyperplasia,3,Rate,2021,263.04654870193,344.37459344021,202.87351824866
1,All Population,6,Incidence,15,Myanmar,1,Male,27,Age-standardized,597,Benign prostatic hyperplasia,3,Rate,2021,470.98196240075,595.4881709559401,369.26413695488
1,All Population,6,Incidence,393,Saint Kitts and Nevis,1,Male,27,Age-standardized,597,Benign prostatic hyperplasia,3,Rate,2021,360.78630153977,466.64396253755,278.40132718863
1,All Population,6,Incidence,176,Comoros,1,Male,27,Age-standardized,597,Benign prostatic hyperplasia,3,Rate,2021,260.69931052117,336.31775937367,197.29671566422
1,All Population,6,Incidence,98,Chile,1,Male,27,Age-standardized,597,Benign prostatic hyperplasia,3,Rate,2021,190.57489780231,244.74729040253,145.55211950761
1,All Population,6,Incidence,298,American Samoa,1,Male,27,Age-standardized,597,Benign prostatic hyperplasia,3,Rate,2021,469.69487869717,590.79032035533,364.78229732509
1,All Population,6,Incidence,152,Saudi Arabia,1,Male,27,Age-standardized,597,Benign prostatic hyperplasia,3,Rate,2021,253.13643619557,329.48930834982,195.20303449097
1,All Population,6,Incidence,205,Côte d'Ivoire,1,Male,27,Age-standardized,597,Benign prostatic hyperplasia,3,Rate,2021,245.29598803341,315.86486913561,188.09190626838
1,All Population,6,Incidence,112,Grenada,1,Male,27,Age-standardized,597,Benign prostatic hyperplasia,3,Rate,2021,363.60737843879,475.85123210439,279.65853510398
1,All Population,6,Incidence,121,Bolivia (Plurinational State of),1,Male,27,Age-standardized,597,Benign prostatic hyperplasia,3,Rate,2021,337.19079725598,438.41716979123,255.77027658468
1,All Population,6,Incidence,163,India,1,Male,27,Age-standardized,597,Benign prostatic hyperplasia,3,Rate,2021,430.83092999048006,547.16944268038,335.25141231607
1,All Population,6,Incidence,139,Algeria,1,Male,27,Age-standardized,597,Benign prostatic hyperplasia,3,Rate,2021,248.97995818504,319.73862799702005,188.7727444553
1,All Population,6,Incidence,193,Botswana,1,Male,27,Age-standardized,597,Benign prostatic hyperplasia,3,Rate,2021,371.86069177556,468.29632722537,296.58680181056
1,All Population,6,Incidence,135,Brazil,1,Male,27,Age-standardized,597,Benign prostatic hyperplasia,3,Rate,2021,221.8977532384,271.02143270493,183.39357333325
1,All Population,6,Incidence,177,Djibouti,1,Male,27,Age-standardized,597,Benign prostatic hyperplasia,3,Rate,2021,262.7193697611,337.03345539083,202.57349280893
1,All Population,6,Incidence,109,Cuba,1,Male,27,Age-standardized,597,Benign prostatic hyperplasia,3,Rate,2021,357.50631432945,467.50907150884,271.37174141671
1,All Population,6,Incidence,74,Andorra,1,Male,27,Age-standardized,597,Benign prostatic hyperplasia,3,Rate,2021,194.82341625851,257.3882019956,146.3315686721
1,All Population,6,Incidence,17,Sri Lanka,1,Male,27,Age-standardized,597,Benign prostatic hyperplasia,3,Rate,2021,481.79188153183,600.93105377057,376.00484672431
1,All Population,6,Incidence,164,Nepal,1,Male,27,Age-standardized,597,Benign prostatic hyperplasia,3,Rate,2021,271.03651248508,334.86179856287004,221.17817268676
1,All Population,6,Incidence,136,Paraguay,1,Male,27,Age-standardized,597,Benign prostatic hyperplasia,3,Rate,2021,267.96192610544,349.30975680941003,197.76410201254
1,All Population,6,Incidence,376,Northern Mariana Islands,1,Male,27,Age-standardized,597,Benign prostatic hyperplasia,3,Rate,2021,438.77337094846,552.8039855009599,335.29935357346
1,All Population,6,Incidence,16,Philippines,1,Male,27,Age-standardized,597,Benign prostatic hyperplasia,3,Rate,2021,497.99678322455,622.35359382604,389.8492463105
1,All Population,6,Incidence,30,Vanuatu,1,Male,27,Age-standardized,597,Benign prostatic hyperplasia,3,Rate,2021,439.0042104882,556.64975272829,339.36508182166
