Population,Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
All Population,Afghanistan,2021,Age-standardized,Male,Prostate cancer,"New cases per 100,000",8.98196429315962,5.337624382206301,13.70869396095737
All Population,Angola,2021,Age-standardized,Male,Prostate cancer,"New cases per 100,000",56.56056483949882,38.37732032450521,78.61859406417166
All Population,Albania,2021,Age-standardized,Male,Prostate cancer,"New cases per 100,000",31.89839119597071,22.154184336777824,43.574459132979364
All Population,Andorra,2021,Age-standardized,Male,Prostate cancer,"New cases per 100,000",65.44957667435717,41.95282882999501,94.47877200654901
All Population,United Arab Emirates,2021,Age-standardized,Male,Prostate cancer,"New cases per 100,000",14.422188928249783,8.684047058235558,22.546678221594263
All Population,Argentina,2021,Age-standardized,Male,Prostate cancer,"New cases per 100,000",40.349702130872195,33.05185237716483,49.23366759680863
All Population,Armenia,2021,Age-standardized,Male,Prostate cancer,"New cases per 100,000",24.790550757619698,20.33081030186941,30.45134590801125
All Population,American Samoa,2021,Age-standardized,Male,Prostate cancer,"New cases per 100,000",85.61752881350357,56.68925559634962,117.32601563988996
All Population,Antigua and Barbuda,2021,Age-standardized,Male,Prostate cancer,"New cases per 100,000",139.41344680367715,104.2406406601959,179.01521444480267
All Population,Australia,2021,Age-standardized,Male,Prostate cancer,"New cases per 100,000",95.26366683696179,83.0534348161353,110.3255031585697
All Population,Austria,2021,Age-standardized,Male,Prostate cancer,"New cases per 100,000",68.10501188343214,53.85380931266845,85.08905170681025
All Population,Azerbaijan,2021,Age-standardized,Male,Prostate cancer,"New cases per 100,000",16.58769013897882,12.320474370327053,22.100192079724355
All Population,Burundi,2021,Age-standardized,Male,Prostate cancer,"New cases per 100,000",28.113165099639556,16.9247040177562,43.290730159645015
All Population,Belgium,2021,Age-standardized,Male,Prostate cancer,"New cases per 100,000",60.42295312182979,47.25847119722064,75.0712966403882
All Population,Benin,2021,Age-standardized,Male,Prostate cancer,"New cases per 100,000",43.17310454219818,29.06625024985412,60.8059433495363
All Population,Burkina Faso,2021,Age-standardized,Male,Prostate cancer,"New cases per 100,000",25.78272123086302,15.294562918672158,39.85669229196626
All Population,Bangladesh,2021,Age-standardized,Male,Prostate cancer,"New cases per 100,000",11.57984022504796,6.824510886496357,19.39041635593263
All Population,Bulgaria,2021,Age-standardized,Male,Prostate cancer,"New cases per 100,000",49.455777882177806,40.29207005271049,60.062468674444226
All Population,Bahrain,2021,Age-standardized,Male,Prostate cancer,"New cases per 100,000",34.999785834115805,24.440959202744654,48.74642564568972
All Population,Bahamas,2021,Age-standardized,Male,Prostate cancer,"New cases per 100,000",196.27350622601625,157.02648674374413,251.85415328846386
All Population,Bosnia and Herzegovina,2021,Age-standardized,Male,Prostate cancer,"New cases per 100,000",33.53649990105568,22.115075375472973,44.24830903402674
All Population,Belarus,2021,Age-standardized,Male,Prostate cancer,"New cases per 100,000",84.75353393222021,66.12862337250027,103.19363528287222
All Population,Belize,2021,Age-standardized,Male,Prostate cancer,"New cases per 100,000",68.72571671861881,56.01451255088952,85.3756344042151
All Population,Bermuda,2021,Age-standardized,Male,Prostate cancer,"New cases per 100,000",170.27530260524546,121.45122927693826,224.10976364373508
All Population,Bolivia (Plurinational State of),2021,Age-standardized,Male,Prostate cancer,"New cases per 100,000",104.29628315079353,69.14177091629313,148.26589459053446
All Population,Brazil,2021,Age-standardized,Male,Prostate cancer,"New cases per 100,000",44.2613060026863,36.74830012113036,53.83552097683303
All Population,Barbados,2021,Age-standardized,Male,Prostate cancer,"New cases per 100,000",136.8018342402378,104.67737541322806,178.14220971613435
All Population,Brunei Darussalam,2021,Age-standardized,Male,Prostate cancer,"New cases per 100,000",18.74550847313366,13.208822001158941,25.75320527055909
All Population,Bhutan,2021,Age-standardized,Male,Prostate cancer,"New cases per 100,000",6.32400168406403,3.513505514590566,10.243544327790461
All Population,Botswana,2021,Age-standardized,Male,Prostate cancer,"New cases per 100,000",14.92361248185089,10.240042380654879,21.21309861933772
All Population,Central African Republic,2021,Age-standardized,Male,Prostate cancer,"New cases per 100,000",29.43270831011578,18.159511247056404,45.01053574876264
All Population,Canada,2021,Age-standardized,Male,Prostate cancer,"New cases per 100,000",58.897473085151624,46.984270176508694,73.63485172537762
All Population,Switzerland,2021,Age-standardized,Male,Prostate cancer,"New cases per 100,000",72.1808791262245,57.241133244981846,90.8323262717582
All Population,Chile,2021,Age-standardized,Male,Prostate cancer,"New cases per 100,000",51.63856131917496,43.08935680562938,61.0635782276213
All Population,China,2021,Age-standardized,Male,Prostate cancer,"New cases per 100,000",8.252095370139417,5.958109121880909,10.561797489438959
All Population,Côte d'Ivoire,2021,Age-standardized,Male,Prostate cancer,"New cases per 100,000",46.22618034952804,32.229819969277266,63.475384050768
All Population,Cameroon,2021,Age-standardized,Male,Prostate cancer,"New cases per 100,000",38.519453031892176,22.329124575427578,60.99776457784969
All Population,Democratic Republic of the Congo,2021,Age-standardized,Male,Prostate cancer,"New cases per 100,000",58.03493719656596,37.53458061990168,82.26645114451358
All Population,Congo,2021,Age-standardized,Male,Prostate cancer,"New cases per 100,000",54.96532461943252,37.32957040731747,75.58826548008776
All Population,Cook Islands,2021,Age-standardized,Male,Prostate cancer,"New cases per 100,000",167.74858302494525,106.69695382206544,243.8910299422556
All Population,Colombia,2021,Age-standardized,Male,Prostate cancer,"New cases per 100,000",53.44222289296681,42.53649056582745,64.89964292116876
All Population,Comoros,2021,Age-standardized,Male,Prostate cancer,"New cases per 100,000",15.906979495484324,8.450534685352256,26.58034757877836
All Population,Cabo Verde,2021,Age-standardized,Male,Prostate cancer,"New cases per 100,000",50.61709304654104,32.22016216552385,73.52488734429053
All Population,Costa Rica,2021,Age-standardized,Male,Prostate cancer,"New cases per 100,000",77.59174157379925,61.66139042367413,96.90847312749348
All Population,Cuba,2021,Age-standardized,Male,Prostate cancer,"New cases per 100,000",129.11056069549772,103.89717542255501,157.78788433022504
All Population,Cyprus,2021,Age-standardized,Male,Prostate cancer,"New cases per 100,000",78.95222458914536,53.032257473302785,118.06441982634371
All Population,Czechia,2021,Age-standardized,Male,Prostate cancer,"New cases per 100,000",62.05063769645813,55.51912077134025,69.58316598293784
All Population,Germany,2021,Age-standardized,Male,Prostate cancer,"New cases per 100,000",85.60265521823459,78.5214774943876,94.68307290089679
All Population,Djibouti,2021,Age-standardized,Male,Prostate cancer,"New cases per 100,000",22.548141426049007,13.735132837343563,35.44137312160778
All Population,Dominica,2021,Age-standardized,Male,Prostate cancer,"New cases per 100,000",134.1003309933258,94.44100424613015,183.42437630293634
All Population,Denmark,2021,Age-standardized,Male,Prostate cancer,"New cases per 100,000",83.2000766401746,69.5908389501724,97.24811937145974
All Population,Dominican Republic,2021,Age-standardized,Male,Prostate cancer,"New cases per 100,000",92.25747548689804,61.13872890362329,125.72370485068303
All Population,Algeria,2021,Age-standardized,Male,Prostate cancer,"New cases per 100,000",5.671863043166013,2.733722895321172,9.4556149343663
All Population,Ecuador,2021,Age-standardized,Male,Prostate cancer,"New cases per 100,000",58.3903333869291,47.09625872072983,71.57246953683261
All Population,Eritrea,2021,Age-standardized,Male,Prostate cancer,"New cases per 100,000",17.894518515122865,11.585480501275054,26.716239925676707
All Population,Spain,2021,Age-standardized,Male,Prostate cancer,"New cases per 100,000",56.91953923836501,43.790596345996136,72.5211284313003
All Population,Estonia,2021,Age-standardized,Male,Prostate cancer,"New cases per 100,000",119.066905367883,94.01433937123008,146.28442944452613
All Population,Ethiopia,2021,Age-standardized,Male,Prostate cancer,"New cases per 100,000",15.978960573927512,10.220842587618755,23.586461976244255
All Population,Finland,2021,Age-standardized,Male,Prostate cancer,"New cases per 100,000",97.57448492785556,86.10412598920897,109.30041130423618
All Population,Fiji,2021,Age-standardized,Male,Prostate cancer,"New cases per 100,000",33.4277834736564,22.024545407169363,46.49828845396292
All Population,France,2021,Age-standardized,Male,Prostate cancer,"New cases per 100,000",88.31360759840281,67.85784399751904,108.28444268010844
All Population,Micronesia (Federated States of),2021,Age-standardized,Male,Prostate cancer,"New cases per 100,000",32.08722947117701,22.162140412988276,44.04543987416556
All Population,Gabon,2021,Age-standardized,Male,Prostate cancer,"New cases per 100,000",47.75547669171322,31.9073792780227,67.89185825009609
All Population,United Kingdom,2021,Age-standardized,Male,Prostate cancer,"New cases per 100,000",75.65789142917453,66.18324090067365,84.83560413627332
All Population,Georgia,2021,Age-standardized,Male,Prostate cancer,"New cases per 100,000",47.80445222151057,40.09290553700562,57.41687395851441
All Population,Ghana,2021,Age-standardized,Male,Prostate cancer,"New cases per 100,000",45.56508956485892,29.67261497992908,62.12512719655209
