Exposure_Factor,RR,95%_CI_Low,95%_CI_High,P_value
Kidney dysfunction,1.1148553943372044,1.0803376727296585,1.1504759869591112,1.2397957185488425e-11
Diet high in sodium,1.0062054220555188,1.0028743631735884,1.0095475450883364,0.0002557302625247339
High alcohol use,1.0078840745458775,0.9991598877239483,1.016684436799426,0.07664682126125423
Smoking,1.007909554569349,1.0033692195369952,1.012470435021878,0.0006259260188478051
High LDL cholesterol,0.9961673175808597,0.9899257574971893,1.0024482311938057,0.23112890427200217
High fasting plasma glucose,1.000824663344191,0.9939041252240687,1.0077933890577204,0.8158854712216426
Diet low in whole grains,1.0019059468045137,0.9984282009084218,1.0053958064575155,0.28313823908104274
Diet low in fiber,0.9983668332640371,0.9953446923092084,1.0013981502721683,0.2906495653260107
Diet low in milk,1.0024718709620801,0.999248602720162,1.0057055364746386,0.13296819839643328
High body-mass index,0.9986896669360198,0.9925236167608523,1.004894023680543,0.6781798663885414
