Exposure_Factor,RR,95%_CI_Low,95%_CI_High,P_value
Kidney dysfunction,1.219474813225129,1.1463004910462902,1.2973202329636009,3.28614500341559e-10
High alcohol use,1.0648668225925486,1.04513953425446,1.0849664687760916,4.470800591971958e-11
Diet high in processed meat,1.0059993637856892,0.9985876377136301,1.0134661012371133,0.1128850060202564
High body-mass index,1.013342610789723,1.001928501219564,1.0248867514919646,0.02182967328919748
Diet low in legumes,0.9999475301462908,0.9951996081984225,1.004718103593052,0.9827608380712171
Diet low in whole grains,1.0045429014422462,0.9986483685707289,1.0104722268582336,0.13116621982059726
High LDL cholesterol,0.9938213633276098,0.9825451082776687,1.005227031192169,0.28709326200888796
Diet high in sugar-sweetened beverages,1.0010033681526598,0.9938125290078482,1.0082462373998269,0.7851336226875234
Diet high in red meat,0.9952918010924537,0.9868360723148996,1.003819982986757,0.27831390380534327
Diet low in nuts and seeds,0.9963651358753882,0.9927239199601839,1.0000197074205663,0.051246001312210306
Diet low in fiber,0.9939665967966336,0.9884562433767525,0.9995076688194021,0.03287690465144059
